maize_v4,Zea_mays_B73
rice,Oryza_sativa
wheat,Triticum_aestivum
soybean,Glycine_max
maize_Mo17,Zea_mays_Mo17
maize_PH20,Zea_mays_PH20
maize.W22.,Zea_mays_W22
common_bea,Phaseolus_vulgaris
peanut,Arachis_hypogaea
medicago2,Medicago_truncatula_A17
barley,Hordeum_vulgaris
medicago1,Medicago_truncatula_R108
cotton_pre,Gossypium_herbaceum
sorghum,Sorghum_bicolor
brachy,Brachypodium_distachyon
cowpea,Vigna_unguiculata
